ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00291,10000,3,3,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00292,25000,5,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00293,24000,3,3,Male,0,0,0,0,0,0,1,0,0,0,NA
FLP00294,36000,5,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00295,40000,15,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00296,65000,15,10,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00297,30000,10,5,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00298,47000,15,3,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00299,75000,8,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00300,72000,5,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00301,22000,3,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00302,47000,4,4,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00303,26000,3,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00304,60000,15,2,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00305,110000,7,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00306,29000,10,3,Male,0,0,0,1,0,0,1,0,0,0,Highschool
FLP00307,24000,8,1,Female,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00308,40000,6,5,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00309,66000,16,12,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00310,100000,6,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00311,26000,4,4,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00312,165000,8,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00313,165000,8,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00314,200000,20,20,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00315,37000,5,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00316,54000,8,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00317,95000,10,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00318,21000,15,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00319,14000,8,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00320,95000,16,2,Male,0,0,0,0,0,0,0,0,0,0,NA
